Neighborhood,2018-07,Latitude,Longitude,GoodRatingRestaurant,RentScore,RatingScore,FinalScore
Hayes Valley,3030,37.776685,-122.422936,2,0.635854,0.75,0.681513
Van Ness - Civic Center,2977,37.77519,-122.419266,3,0.685341,0.625,0.661204
Tenderloin,2977,37.784249,-122.413993,8,0.685341,0,0.411204
Downtown,3040,37.787514,-122.407159,6,0.626517,0.25,0.47591
Western Addition,2989,37.779559,-122.42981,0,0.674136,1,0.804482
Marina,2948,37.799793,-122.435205,0,0.712418,1,0.82745
Russian Hill,2954,37.797707,-122.414971,1,0.706816,0.875,0.77409
Lower Pacific Heights,2963,37.785767,-122.438904,2,0.698413,0.75,0.719048
Nob Hill,3050,37.793262,-122.415249,1,0.61718,0.875,0.720308
Pacific Heights,2973,37.792717,-122.435644,0,0.689076,1,0.813445
Noe Valley,2818,37.751591,-122.432081,1,0.8338,0.875,0.85028
Stonestown,2640,37.727446,-122.474895,0,1,1,1
Merced Heights,2640,37.717507,-122.470281,0,1,1,1
Lakeside,2640,37.731967,-122.474257,0,1,1,1
North of Panhandle,3048,37.778408,-122.442599,1,0.619048,0.875,0.721429
Alamo Square,3048,37.776357,-122.434694,2,0.619048,0.75,0.671429
Telegraph Hill,3055,37.80273,-122.405851,0,0.612512,1,0.767507
North Beach,3055,37.801175,-122.409002,2,0.612512,0.75,0.667507
Anza Vista,3099,37.780836,-122.443149,0,0.571429,1,0.742857
Glen Park,2967,37.733108,-122.433784,0,0.694678,1,0.816807
Forest Knolls,3005,38.015201,-122.688597,0,0.659197,1,0.795518
Sunnyside,3039,37.73216,-122.440592,0,0.627451,1,0.776471
Financial District,3472,37.793647,-122.398938,1,0.223156,0.875,0.483894
Mission Dolores Park,3389,37.75972,-122.427132,1,0.300654,0.875,0.530392
Twin Peaks,3154,37.75464,-122.44648,0,0.520075,1,0.712045
South of Market,3490,37.780893,-122.400952,1,0.206349,0.875,0.47381
Potrero Hill,3490,37.756583,-122.399137,0,0.206349,1,0.52381
Lone Mountain,3283,37.779096,-122.451916,0,0.399627,1,0.639776
Golden Gate Park,3283,37.769368,-122.482184,0,0.399627,1,0.639776
Yerba Buena Gardens,3563,37.78465,-122.402345,2,0.138189,0.75,0.382913
Presidio Heights,3484,37.788751,-122.453027,0,0.211951,1,0.527171
Lake Street,3484,37.78634,-122.472202,1,0.211951,0.875,0.477171
Jordan Park,3484,37.784652,-122.456638,1,0.211951,0.875,0.477171
Richmond District,3484,37.780643,-122.472596,1,0.211951,0.875,0.477171
South Beach,3646,37.779814,-122.39115,2,0.060691,0.75,0.336415
Mission Bay,3711,37.770774,-122.391171,0,0,1,0.4
